Age,Height,Winner,Rank,Country Score,Country,Population,Literacy,Country Age,GDP pre capita,Beauty Score,Year
22,173,0,-1,72,Netherlands,16877351,99,434,41457.92785,,2012
26,173,0,-1,62,New Zealand,4401916,99,106,30895.63726,,2012
21,173,0,-1,42,Nicaragua,5848641,78,192,4782.307548,,2012
26,180,0,-1,38,Nigeria,177155754,61.3,53,2701.013031,,2012
20,175,0,-1,91,Norway,5147792,100,108,54819.61975,,2012
26,179,0,-1,61,Panama,3608431,94.1,110,17054.50374,,2012
25,183,0,-1,57,Paraguay,6703860,93.9,202,6846.801693,,2012
24,183,1,16,66,Peru,30147935,89.6,192,11410.40008,,2012
23,173,0,1,113,Philippines,107668231,95.4,115,4219.443338,,2012
23,180,1,16,62,Poland,38346279,99.7,95,21227.61377,,2012
20,183,0,-1,139,Puerto Rico,3615000,92,115,28529,,2012
26,183,0,-1,35,Romania,21729871,97.7,136,13276.65498,,2012
19,178,1,10,104,Russia,142470272,99.7,22,17919.5278,,2012
21,178,0,-1,35,Serbia,7209764,98,7,11161.25299,,2012
24,173,0,-1,38,Singapore,5567301,95.9,48,60891.26491,,2012
24,176,0,-1,39,Slovak Republic,5415949,92,95,21664,,2012
23,170,1,10,115,South Africa,48375645,93,103,12314.0477,,2012
22,181,0,-1,102,Spain,47737941,98,522,30113,,2012
25,174,0,-1,43,Sri Lanka,21866445,91.2,65,6150.976988,,2012
25,178,0,-1,35,St. Lucia,173765,90.1,34,7769,,2012
22,174,0,-1,133,Sweden,9723809,99,490,40498.53303,,2012
21,172,0,-1,60,Switzerland,8061516,99,722,46045.92982,,2012
19,179,0,-1,45,Tanzania,49639138,67.8,49,1597.328302,,2012
19,175,0,-1,78,Thailand,67741401,93.5,775,9934.840291,,2012
23,180,0,-1,90,Trinidad and Tobago,1223916,98.8,51,22174.72441,,2012
24,180,1,16,39,Turkey,81619392,73.29,90,14298.07269,,2012
19,177,0,-1,35,Ukraine,44291413,99.7,22,7617.729423,,2012
19,174,0,-1,43,Uruguay,3332972,76.81,189,17121,,2012
20,169,1,0,275,United States,319163000,99,237,52637.68043,,2012
21,179,1,2,240,Venezuela,28868486,95.5,202,14112.27454,,2012
22,173,0,-1,45,Vietnam,93421835,93.4,68,3841.714306,,2012
